Entidad,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aguascalientes,8818.89966,6862.07478,7856.16918,8804.0191,8488.838,7188.445,8648.146,10346.368,10426.677,9626.307,7858.5611,11838.304,11028.896,9152.23,8609.392,10594.769,11361.263,8350.939
Baja California,11796.8599,11048.71336,10193.17341,11771.65962,12765.66135,12021.40982,10629.33465,12520.20249,12905.64678,11765.60917,10034.88853,11538.36206,11566.29366,19776.01688,18340.69902,21641.22947,21641.36579,20967.98087
Baja California Sur,1612.039,996.984,631.473,1195.056,4604.659,4239.698,3050.252,3894.916,6131.345,4135.68,2998.358,4024.835,6474.956,4359.974,2452.105,4769.467,6381.744,4677.275
Campeche,2567.504,2450.142,2519.704,2989.367,2677.974,2502.737,2529.966,3051.825,2765.909,2652.629,2866.124,3450.786,3287.31,3099.848,3057.405,3564.705,3497.683,2875.764
Chiapas,11315.737,10814.932,12002.583,11664.637,12377.262,11035.16134,10975.30722,11103.57846,9440.85,11188.004,10094.174,12234.702,12583.238,12689.714,12978.745,14053.548,14170.577,13150.517
Chihuahua,18097.751,12526.866,11337.96,18026.002,18029.172,10654.437,9873.035,13176.328,21906.794,12831.477,13236.904,11611.887,12972.235,10008.584,8449.847,13061.878,16766.77,12582.476
Coahuila,8066.0833,7233.6699,7885.04859,10086.99741,14260.36952,12138.99145,9741.07259,11176.38756,10307.44674,10604.39415,11412.89799,11930.25179,10691.82388,9144.07,9107.94,12054.91,14744.533,11654.985
Colima,2312.171,2299.131,2225.963,2284.723,2268.788,2248.993,2168.782,2313.905,2327.35,2108.902,2072.285,2276.785,2528.265,2243.532,2082.284,2308.114,2200.37,2038.786
Distrito Federal,11366.93,10733.718,11463.04351,11574.70186,11818.27834,17015.011,18563.289,20091.387,19387.295,18859.538,18236.146,22015.158,21057.19,15371.357,24233.801,33290.179,21786.116,21755.43
Durango,4494.995,3873.096,4254.215,5257.999,1508.72377,1301.557,1401.48178,1628.5038,2695.7457,2580.01861,2997.585,3033.102,2858.559,4907.271,5687.481,6946.739,6726.573,5273.614
Guanajuato,30826.538,29120.724,30747.964,32272.776,28190.9,26405.57219,28849.06268,32126.76,30907.40868,29365.81436,32331.12611,34528.66168,31916.08326,30309.619,31676.604,36405.954,35585.024,30907.154
Guerrero,11998.855,11460.705,11425.977,10097.131,12916.202,12215.564,12289.538,13863.929,14262.775,13413.751,13438.825,14223.126,13694.155,13454.179,12976.814,13930.659,13604.721,13611.582
Hidalgo,30375.00432,28703.66024,26927.28,31058.141,25529.69,22055.424,22071.145,25880.4475,29782.759,24439.749,24887.201,26613.591,24792.787,23464.632,23735.501,25018.949,23794.833,21901.409
Jalisco,68976.43448,59396.67932,62453.368,67392.189,67156.846,60667.584,63818.763,67865.269,72170.558,60668.559,64924.908,68800.80879,69657.504,69216.809,62922.782,71740.662,74733.239,64013.762
Mexico,112564.3608,118167.9499,125535.5661,128117.2064,140342.9254,164376.9587,170312.3712,181858.0288,177137.3705,154903.1341,185221.521,201503.2133,184875.5638,195769.169,171797.334,216430.426,185455.694,157803.036
Michoacan,20714.375,21089.949,23220.212,25737.861,21804.914,21975.685,22602.454,26462.489,26058.115,26416.243,28626.726,31649.536,28723.282,26446.623,28427.766,32017.14,30208.579,26576.491
Morelos,8165.988,7073.791,7455.573,8421.238,10516.74827,10099.682,10494.07,13378.664,12522.206,11176.412,9530.391,10645.726,10364.841,10028.148,10476.675,11652.038,11264.035,9595.573
Nayarit,2240.645,2101.399,1791.082,2019.772,2050.567,2695.738,2593.395,3606.978,3401.95,2994.654,2803.741,3325.606,3547.197,3421.634,3003.172,3639.1,3881.712,3367.669
Nuevo Leon,15586.3822,12208.1249,12298.16369,16217.01553,15884.08184,13916.65975,12163.56807,16040.99527,17233.96232,12832.69064,14780.51522,17535.19727,17598.90652,14026.447,14588.475,20399.503,19183.569,14293.833
Oaxaca,3344.814,3153.925,3115.159,10568.293,3425.049,3212.254,3230.104,3543.317,3705.84,3326.328,3364.013,2840.861,3712.74,4395.235,4535.857,5228.387,4890.47,4785.103
Puebla,14403.07926,14556.65225,14359.27233,16069.26764,20015.214,15302.44161,16553.25838,18820.00357,19793.40867,18778.10313,21283.73534,22098.89728,21553.892,27978.488,28520.745,35062.652,31852.299,30762.253
Queretaro,8457.553,5762.298,5819.776,6421.075,10193.184,11203.531,13425.97,15177.42,15803.226,15880.62,15776.927,17357.463,14250.33,14521.518,15437.018,18021.048,18512.587,15627.179
Quintana Roo,4654.916,4348.604,4317.14,4993.336,3456.924,5136.329,7811.005,8941.432,10102.822,9119.454,8569.115,9371.585,10431.407,8760.546,8388.508,8655.646,9108.49,8036.751
San Luis Potosi,10633.049,9368.553,9566.072,11951.341,14998.5173,13110.07072,14562.00021,15814.57968,15489.31217,13754.00392,14821.08629,16452.85426,14631.73993,12956.058,14217.135,15759.892,16982.86,13436.66
Sinaloa,10007.674,8273.001,5759.175,7064.732,9231.55,8459.159,8253.405,8956.594,10348.191,10190.555,9300.818,9437.571,10889.981,10583.322,8765.154,10210.328,11000.431,10828.211
Sonora,16119.971,11314.483,9173.679,12899.841,14404.602,9658.319,8430.698,12153.635,12503.326,9846.693,8525.078,11779.381,11542.965,9532.029,7909.159,11873.46,12419.471,11202.941
Tabasco,8623.332,7092.785,7034.754,8636.6,7277.839,6283.441,6411.154,6209.933,6450.868,5897.898,5579.626,6489.217,6102.926,5870.916,6136.376,6409.821,6154.031,5486.963
Tamaulipas,12779.913,15370.138,14775.705,18059.282,22782.764,19140.204,16664.197,21357.26,20754.312,19020.083,16684.281,21333.162,21004.746,19599.863,17758.226,26009.963,25556.82,22016.296
Tlaxcala,4763.312,4456.37,4922.927,5204.401,6072.138,5746.816,5744.211,5997.681,2952.469,2992.025,3958.406,5129.564,4314.528,5333.684,5573.124,5935.829,5532.429,5133.086
Veracruz,28444.88252,25350.46402,25910.74499,29447.42579,76321.55876,25798.97135,30095.475,33220.743,35305.058,31875.782,32060.64359,35833.729,35249.546,32379.254,31848.55,36818.247,37491.754,33443.087
Yucatan,5483.95,4249.515,4362.38,4726.565,4963.554,4765.898,5019.236,5306.08,4440.544,4531.716,3767.984,4192.893,4873.317,5681.029,5821.825,6915.957,7346.068,6246.525
Zacatecas,5266.133,4671.072,5923.305,6168.043,4675.724,4625.636,7432.574,8069.129,6590.956,4117.038,5433.672,6572.94,6176.625,5984.919,8522.487,7657.741,7062.146,7463.567
,,476130.1696,487264.6078,547198.6943,611011.2185,547198.3789,566408.3208,633954.7691,646012.4966,571893.865,607478.2632,671669.7564,644953.8291,640466.7179,618038.986,748078.9405,710898.2568,619866.8979
